State,Zip_Code,City,Average_Auto_Insurance_Rate
,22853,Timberville,"$2,038.95 "
,22853,Timberville,"$2,038.95 "
,22939,Fishersville,"$2,044.69 "
,22939,Fishersville,"$2,044.69 "
,24060,Blacksburg,"$2,035.11 "
,24060,Blacksburg,"$2,035.11 "
,24073,Christiansburg,"$2,042.79 "
,24073,Christiansburg,"$2,042.79 "
,24141,Radford,"$2,050.57 "
,24141,Radford,"$2,050.57 "
,24401,Staunton,"$2,033.51 "
,24401,Staunton,"$2,033.51 "
,24416,Buena Vista,"$2,039.40 "
,24416,Buena Vista,"$2,039.40 "
,24435,Fairfield,"$2,053.78 "
,24435,Fairfield,"$2,053.78 "
,24450,Lexington,"$2,018.13 "
,24450,Lexington,"$2,018.13 "
Virginia,24450,Lexington,"$2,018.13 "
,24471,Port Republic,"$2,046.56 "
,24471,Port Republic,"$2,046.56 "
,24486,Weyers Cave,"$2,055.76 "
,24486,Weyers Cave,"$2,055.76 "
West Virginia,25401,Martinsburg,"$3,519.10 "
West Virginia,25621,Gilbert,"$2,119 "
West Virginia,25621,Gilbert,"$5,111.14 "
North Carolina,28205,Charlotte,"$4,803.84 "
North Carolina,28212,Charlotte,"$1,867 "
North Carolina,28701,Alexander,"$2,860.59 "
South Carolina,29933,Miley,"$2,056 "
Georgia,30035,Decatur,"$2,777 "
Georgia,30314,Atlanta,"$6,991.02 "
Georgia,31699,Moody AFB,"$3,976.82 "
Florida,32694,Waldo,"$3,481.35 "
Florida,33142,Brownsville,"$3,342 "
Florida,33142,Miami,"$7,631.16 "
Alabama,35208,Birmingham,"$1,991 "
Alabama,35218,Birmingham,"$4,428.60 "
Alabama,36360,Ozark,"$3,310.05 "
Tennessee,37601,Johnson City,"$3,173.65 "
Tennessee,38118,Memphis,"$2,120 "
Tennessee,38118,Memphis,"$4,991.62 "
Mississippi,39086,Hermanville,"$2,036 "
Mississippi,39086,Hermanville,"$4,323.64 "
Mississippi,39759,Starkville,"$3,077.33 "
Kentucky,40944,Goose Rock,"$3,435 "
Kentucky,41542,Lookout,"$7,400.56 "
Kentucky,42303,Owensboro,"$3,562.72 "
Ohio,43224,Columbus,"$1,524 "
Ohio,43224,Columbus,"$3,667.48 "
Ohio,44883,Tiffin,"$2,325.38 "
Indiana,46402,Gary,"$4,747.17 "
Indiana,46409,Gary,"$1,695 "
Indiana,47909,Lafayette,"$2,931.86 "
,48126,Dearborn,"$26,665.38 "
,48201,Detroit,"$30,350.09 "
Michigan,48201,Detroit,"$30,350.09 "
,48202,Detroit,"$28,946.15 "
,48203,Highland Park,"$26,923.65 "
,48204,Detroit,"$29,281.79 "
,48205,Detroit,"$27,952.29 "
,48206,Detroit,"$29,791.56 "
,48207,Detroit,"$27,424.94 "
,48208,Detroit,"$27,867.09 "
,48209,Detroit,"$26,710.79 "
,48210,Detroit,"$28,417.19 "
,48211,Detroit,"$28,033.06 "
,48212,Hamtramck,"$26,925.66 "
,48213,Detroit,"$28,556.49 "
,48214,Detroit,"$26,730.26 "
,48215,Detroit,"$28,186.14 "
,48216,Detroit,"$28,040.22 "
,48223,Detroit,"$26,031.27 "
,48224,Detroit,"$26,758.51 "
Michigan,48226,Detroit,"$6,329 "
,48226,Detroit,"$27,767.58 "
,48227,Detroit,"$29,374.46 "
,48228,Detroit,"$28,073.12 "
,48234,Detroit,"$26,566.42 "
,48235,Detroit,"$26,516.65 "
,48238,Detroit,"$28,148.98 "
Michigan,48880,Saint Louis,"$7,916.29 "
Iowa,51501,Council Bluffs,"$3,633.75 "
Iowa,51503,Council Bluffs,"$1,635 "
Iowa,52241,Coralville,"$2,598.27 "
Wisconsin,53206,Milwaukee,"$2,306 "
Wisconsin,53206,Milwaukee,"$5,102.46 "
Wisconsin,54130,Kaukauna,"$2,491.30 "
Minnesota,55411,Minneapolis,"$2,292 "
Minnesota,55411,Minneapolis,"$6,620.56 "
Minnesota,56007,Albert Lea,"$3,976.80 "
South Dakota,57201,Watertown,"$3,467.81 "
South Dakota,57756,Manderson,"$2,067 "
South Dakota,57770,Pine Ridge,"$4,695.24 "
North Dakota,58104,Fargo,"$3,677.18 "
North Dakota,58538,Fort Yates,"$1,793 "
North Dakota,58538,Fort Yates,"$4,477.64 "
Montanna,59089,Wyola,"$3,457.81 "
Montanna,59635,East Helena,"$2,866.45 "
Illinois,60624,Chicago,"$2,721 "
Illinois,60636,Chicago,"$5,437.22 "
Illinois,61443,Kewanee,"$2,792.51 "
Missouri,63115,St. Louis,"$3,018 "
Missouri,63120,Saint Louis,"$5,220.97 "
Missouri,65301,Sedalia,"$2,938.18 "
Kansas,66115,Kansas City,"$2,066 "
Kansas,66115,Kansas City,"$4,318.12 "
Kansas,67401,Salina,"$2,954.93 "
Nebraska,68110,Omaha,"$1,904 "
Nebraska,68111,Omaha,"$4,516.91 "
Nebraska,68803,Grand Island,"$3,133.81 "
Louisiana,70117,New Orleans,"$4,601 "
Louisiana,70117,New Orleans,"$9,303.50 "
Louisiana,71439,Hornbeck,"$4,332.48 "
Arkansas,72202,Little Rock,"$4,957.15 "
Arkansas,72342,Helena-West Helena,"$2,066 "
Arkansas,72626,Cotter,"$3,675.93 "
Oklahoma,73555,Manitou,"$3,646.98 "
Oklahoma,74110,Tulsa,"$2,146 "
Oklahoma,74110,Tulsa,"$5,150.50 "
Texas,75241,Dallas,"$2,447 "
Texas,76901,San Angelo,"$3,157.68 "
Texas,78049,Laredo,"$5,538.80 "
Colorado,80219,Denver,"$2,421 "
Colorado,80219,Denver,"$4,762.40 "
Colorado,81504,Grand Junction,"$3,291.13 "
Wyoming,82725,Recluse,"$1,844 "
Wyoming,82801,Sheridan,"$2,896.66 "
Wyoming,83414,Alta,"$3,156.85 "
Idaho,83536,Kamiah,"$1,415 "
Idaho,83536,Kamiah,"$3,008.28 "
Idaho,83716,Boise,"$2,612.88 "
Utah,84104,Salt Lake City,"$4,580.22 "
Utah,84180,Salt Lake City,"$1,910 "
Utah,84721,Cedar City,"$3,239.58 "
Arizona,85009,Phoenix,"$5,479.07 "
Arizona,85017,Phoenix,"$2,595 "
Arizona,86403,Lake Havasu City,"$2,883.46 "
New Mexico,87121,Albuquerque,"$2,030 "
New Mexico,87121,Albuquerque,"$4,364.29 "
New Mexico,88310,Alamogordo,"$2,948.89 "
Nevada,89101,Las Vegas,"$3,768 "
Nevada,89101,Las Vegas,"$7,486.53 "
Nevada,89406,Fallon,"$3,411.08 "
California,90210,Beverly Hills,"$6,324.83 "
California,91605,North Hollywood,"$3,767 "
California,93401,San Luis Obispo,"$2,731.32 "
Hawaii,96703,Anahola,"$2,198.62 "
Hawaii,96704,Captain Cook,"$2,859.11 "
Hawaii,96781,Papaikou,"$1,773 "
Oregon,97236,Portland,"$4,908.54 "
Oregon,97266,Portland,"$2,068 "
Oregon,97850,La Grande,"$2,953.60 "
Washington,98108,Boulevard Park,"$2,149 "
Washington,98118,Seattle,"$4,079.23 "
Washington,98368,Port Townsend,"$2,461.54 "
Alaska,99504,Anchorage,"$1,877 "
Alaska,99504,Anchorage,"$3,132.74 "
Alaska,99820,Angoon,"$2,335.97 "
